date,jobs
2021-06-26,93.1
2021-06-27,94.2
2021-06-28,93.7
2021-06-29,80.4
2021-06-30,79.6
2021-07-01,81.5
2021-07-02,82.7
2021-07-03,85.0
2021-07-04,83.4
2021-07-05,82.9
2021-07-06,100.8
2021-07-07,102.0
2021-07-08,102.5
2021-07-09,101.3
2021-07-10,104.1
2021-07-11,102.6
2021-07-12,101.3
2021-07-13,102.0
2021-07-14,102.1
2021-07-15,101.1
2021-07-16,102.3
2021-07-17,104.1
2021-07-18,103.6
2021-07-19,104.7
2021-07-20,104.1
2021-07-21,104.1
2021-07-22,106.5
2021-07-23,107.1
2021-07-24,108.2
2021-07-25,108.1
2021-07-26,104.6
2021-07-27,107.8
